feature_set,mode,seed,n_features,distinct_train_vectors,runtime_sec,selected_k,val_silhouette,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,hungarian_accuracy,majority_accuracy,silhouette,davies_bouldin,calinski_harabasz
F0_standard_l2,forced_k5,7,19,3247,1.66,5,0.2666162486591832,5,0.0,0.5673749635448563,0.6484111189195746,0.6468337093387981,0.7244472172056822,0.7244444444444444,0.7244444444444444,0.273203547360804,1.5649596367935765,589.4080207018889
F0_standard_l2,forced_k5,42,19,3247,0.1,5,0.2666162486591832,5,0.0,0.5673749635448563,0.6484111189195746,0.6468337093387981,0.7244472172056822,0.7244444444444444,0.7244444444444444,0.273203547360804,1.5649596367935763,589.4080207018889
F0_standard_l2,forced_k5,2026,19,3247,0.11,5,0.2661942849737648,5,0.0,0.5689381928338559,0.6492804278262546,0.6477070894641858,0.7253642419495874,0.7253333333333334,0.7253333333333334,0.27301548128047326,1.5665562654781806,589.2333046941159
F0_standard_l2,natural,7,19,3247,0.73,2,0.43166256756755905,2,0.0,0.36725909312216354,0.5667267533708151,0.5660491604234331,0.23282154377804493,0.4,0.4,0.42340457955927485,1.0105214394271484,952.2402782816405
F0_standard_l2,natural,42,19,3247,0.72,2,0.43166256756755905,2,0.0,0.36725909312216354,0.566726753370815,0.566049160423433,0.23282154377804493,0.4,0.4,0.42340457955927485,1.0105214394271484,952.2402782816405
F0_standard_l2,natural,2026,19,3247,0.73,2,0.43166256756755905,2,0.0,0.36725909312216354,0.566726753370815,0.566049160423433,0.23282154377804493,0.4,0.4,0.42340457955927485,1.0105214394271484,952.2402782816405
F0T_core_standard_l2,forced_k5,7,25,3947,0.1,5,0.3400134011655907,5,0.0,0.6276402732501224,0.7318075635032558,0.7305568613830994,0.6517618108710695,0.6888888888888889,0.7342222222222222,0.344685034583347,1.4407573372446354,581.6504793677549
F0T_core_standard_l2,forced_k5,42,25,3947,0.11,5,0.34076628224000044,5,0.0,0.6209791295776115,0.7226875157520398,0.7213941553620715,0.6462541219622616,0.6844444444444444,0.7297777777777777,0.3453855660925804,1.432576044532926,582.4828156000813
F0T_core_standard_l2,forced_k5,2026,25,3947,0.11,5,0.3404040557616438,5,0.0,0.6209089312696464,0.7226493320234855,0.7213561945044359,0.6467928882015817,0.6844444444444444,0.7297777777777777,0.3450312232597251,1.437070558668235,582.1807375202907
F0T_core_standard_l2,natural,7,25,3947,0.8,3,0.4349489402673459,3,0.0,0.594351005567618,0.7374616138339785,0.7367591323335089,0.45876060864935786,0.5946666666666667,0.5946666666666667,0.43620431684739797,1.1237021295876202,896.01273716043
F0T_core_standard_l2,natural,42,25,3947,0.8,3,0.4349489402673459,3,0.0,0.594351005567618,0.7374616138339785,0.7367591323335089,0.45876060864935786,0.5946666666666667,0.5946666666666667,0.43620431684739797,1.1237021295876202,896.01273716043
F0T_core_standard_l2,natural,2026,25,3947,0.85,3,0.4349489402673459,3,0.0,0.594351005567618,0.7374616138339785,0.7367591323335089,0.45876060864935786,0.5946666666666667,0.5946666666666667,0.43620431684739797,1.1237021295876202,896.01273716043
F0S_targeted_standard_l2,forced_k5,7,25,3778,0.11,5,0.4190260437905922,5,0.0,0.5362336166754729,0.6737868234316684,0.6721955284058291,0.5296312044620709,0.5955555555555555,0.6177777777777778,0.4068308418003343,1.257176974241418,694.5015420577522
F0S_targeted_standard_l2,forced_k5,42,25,3778,0.11,5,0.4190260437905922,5,0.0,0.5362336166754729,0.6737868234316684,0.6721955284058291,0.5296312044620709,0.5955555555555555,0.6177777777777778,0.4068308418003343,1.257176974241418,694.5015420577522
F0S_targeted_standard_l2,forced_k5,2026,25,3778,0.11,5,0.4190260437905922,5,0.0,0.5362336166754729,0.6737868234316685,0.6721955284058291,0.5296312044620709,0.5955555555555555,0.6177777777777778,0.4068308418003343,1.257176974241418,694.5015420577523
F0S_targeted_standard_l2,natural,7,25,3778,0.84,3,0.44617747410309405,3,0.0,0.5875253345092533,0.7226164318031558,0.7218742297632262,0.4558560580555867,0.5911111111111111,0.5911111111111111,0.45437314115592203,1.0736402101140465,987.859267092138
F0S_targeted_standard_l2,natural,42,25,3778,0.81,3,0.44617747410309405,3,0.0,0.5875253345092533,0.7226164318031558,0.7218742297632262,0.4558560580555867,0.5911111111111111,0.5911111111111111,0.45437314115592203,1.0736402101140465,987.859267092138
F0S_targeted_standard_l2,natural,2026,25,3778,0.83,3,0.44617747410309405,3,0.0,0.5875253345092533,0.7226164318031558,0.7218742297632262,0.4558560580555867,0.5911111111111111,0.5911111111111111,0.45437314115592203,1.0736402101140465,987.859267092138
F0TS_core_targeted_standard_l2,forced_k5,7,31,3973,0.11,5,0.4438824493703127,5,0.0,0.537608276027496,0.677340627161026,0.6757673491682613,0.5318154524003107,0.5964444444444444,0.6177777777777778,0.436998454714869,1.3319223411974985,717.6034050011216
F0TS_core_targeted_standard_l2,forced_k5,42,31,3973,0.11,5,0.4438824493703127,5,0.0,0.537608276027496,0.6773406271610259,0.6757673491682612,0.5318154524003107,0.5964444444444444,0.6177777777777778,0.436998454714869,1.3319223411974985,717.6034050011215
F0TS_core_targeted_standard_l2,forced_k5,2026,31,3973,0.11,5,0.44403307380623797,5,0.0,0.5343964972289375,0.6710287313015758,0.6694258811205265,0.5299393475772078,0.5946666666666667,0.616,0.4372974553660907,1.3401942910582716,718.0131084342473
F0TS_core_targeted_standard_l2,natural,7,31,3973,0.84,3,0.46505010567922356,3,0.0,0.5689905403803434,0.6929753350413645,0.6921573845049165,0.45248974805712033,0.592,0.592,0.46837999969214517,1.058687498447104,1030.0944469047943
F0TS_core_targeted_standard_l2,natural,42,31,3973,0.84,3,0.46505010567922356,3,0.0,0.5689905403803434,0.6929753350413645,0.6921573845049165,0.45248974805712033,0.592,0.592,0.46837999969214517,1.058687498447104,1030.0944469047943
F0TS_core_targeted_standard_l2,natural,2026,31,3973,0.83,3,0.46505010567922356,3,0.0,0.5689905403803434,0.6929753350413645,0.6921573845049165,0.45248974805712033,0.592,0.592,0.46837999969214517,1.058687498447104,1030.0944469047943
F0T_standard_l2,forced_k5,7,31,3992,0.11,5,0.33763963416415727,5,0.0,0.5129387228866807,0.625468848781397,0.6237229428992774,0.6244386395355285,0.6524444444444445,0.6524444444444445,0.3389477419596944,1.4677211753870716,519.8363407248869
F0T_standard_l2,forced_k5,42,31,3992,0.12,5,0.33749312829631123,5,0.0,0.5129387228866807,0.625468848781397,0.6237229428992774,0.6244386395355285,0.6524444444444445,0.6524444444444445,0.3389477419596944,1.4677211753870714,519.836340724887
F0T_standard_l2,forced_k5,2026,31,3992,0.12,5,0.33763963416415727,5,0.0,0.5129387228866807,0.6254688487813971,0.6237229428992774,0.6244386395355285,0.6524444444444445,0.6524444444444445,0.3389477419596944,1.4677211753870716,519.8363407248869
F0T_standard_l2,natural,7,31,3992,0.9,2,0.3979911472409732,2,0.0,0.3637651801071219,0.5629477398771616,0.562263348077761,0.23351059273170574,0.4,0.4,0.3931996808377972,1.082027358107329,811.9472444762124
F0T_standard_l2,natural,42,31,3992,0.9,2,0.3980213385178124,2,0.0,0.3637651801071219,0.5629477398771616,0.562263348077761,0.23351059273170574,0.4,0.4,0.3931996808377972,1.082027358107329,811.9472444762124
F0T_standard_l2,natural,2026,31,3992,0.91,2,0.3980213385178124,2,0.0,0.3637651801071219,0.5629477398771616,0.562263348077761,0.23351059273170574,0.4,0.4,0.3931996808377972,1.082027358107329,811.9472444762124
F13T_core_standard_l2,forced_k5,7,20,3947,0.11,5,0.3282519398246826,5,0.0,0.6229094288313973,0.7152182618174953,0.7139010039923255,0.7009413140199309,0.7271111111111112,0.7457777777777778,0.33028752900893443,1.6949855877691824,582.7189696061861
F13T_core_standard_l2,forced_k5,42,20,3947,0.1,5,0.3249926973375293,5,0.0,0.6400323265445936,0.7371846627047953,0.7359477008573935,0.6817186749289412,0.7244444444444444,0.7493333333333333,0.3194895015862303,1.5799311454039855,573.6059651257813
F13T_core_standard_l2,forced_k5,2026,20,3947,0.1,5,0.3249926973375293,5,0.0,0.6400323265445936,0.7371846627047953,0.7359477008573935,0.6817186749289412,0.7244444444444444,0.7493333333333333,0.3194895015862303,1.5799311454039855,573.6059651257814
F13T_core_standard_l2,natural,7,20,3947,0.81,3,0.43138912527595236,3,0.0,0.5840795223547082,0.7220014586015515,0.7212566766096415,0.45572449326299835,0.5902222222222222,0.5902222222222222,0.4313355698502832,1.1051535257981822,877.5657566159584
F13T_core_standard_l2,natural,42,20,3947,0.76,3,0.43138912527595236,3,0.0,0.5840795223547082,0.7220014586015515,0.7212566766096415,0.45572449326299835,0.5902222222222222,0.5902222222222222,0.4313355698502832,1.1051535257981822,877.5657566159584
F13T_core_standard_l2,natural,2026,20,3947,0.77,3,0.43138912527595236,3,0.0,0.5840795223547082,0.7220014586015515,0.7212566766096415,0.45572449326299835,0.5902222222222222,0.5902222222222222,0.4313355698502832,1.1051535257981822,877.5657566159584
F13S_targeted_standard_l2,forced_k5,7,20,3772,0.1,5,0.34270880823808836,5,0.0,0.46318943180389816,0.5877875190866207,0.585883326079734,0.5792725944376989,0.6,0.6,0.34247332097211175,1.3322237673608428,688.19362969429
F13S_targeted_standard_l2,forced_k5,42,20,3772,0.11,5,0.34270880823808836,5,0.0,0.46318943180389816,0.5877875190866206,0.5858833260797339,0.5792725944376989,0.6,0.6,0.34247332097211175,1.3322237673608428,688.1936296942902
F13S_targeted_standard_l2,forced_k5,2026,20,3772,0.11,5,0.34270880823808836,5,0.0,0.46318943180389816,0.5877875190866207,0.585883326079734,0.5792725944376989,0.6,0.6,0.34247332097211175,1.3322237673608428,688.19362969429
F13S_targeted_standard_l2,natural,7,20,3772,0.72,3,0.443377043738459,3,0.0,0.5822366761671427,0.7195212759664492,0.7187693612776782,0.4549058404929272,0.5884444444444444,0.5884444444444444,0.4506553777680984,1.0456176197810862,975.2240264949112
F13S_targeted_standard_l2,natural,42,20,3772,0.76,3,0.443377043738459,3,0.0,0.5822366761671427,0.7195212759664492,0.7187693612776782,0.4549058404929272,0.5884444444444444,0.5884444444444444,0.4506553777680984,1.0456176197810862,975.2240264949112
F13S_targeted_standard_l2,natural,2026,20,3772,0.75,3,0.443377043738459,3,0.0,0.5822366761671427,0.7195212759664492,0.7187693612776782,0.4549058404929272,0.5884444444444444,0.5884444444444444,0.4506553777680984,1.0456176197810862,975.2240264949112
F13TS_core_targeted_standard_l2,forced_k5,7,26,3973,0.1,5,0.43405527281840417,5,0.0,0.5338033949081216,0.6676404024266749,0.6660205411710648,0.5282821993219298,0.5937777777777777,0.616,0.424077629361288,1.2464760199478395,710.7567375808418
F13TS_core_targeted_standard_l2,forced_k5,42,26,3973,0.11,5,0.43405527281840417,5,0.0,0.5338033949081216,0.6676404024266748,0.6660205411710647,0.5282821993219298,0.5937777777777777,0.616,0.424077629361288,1.2464760199478395,710.7567375808418
